STATE/UT,CRIME HEAD,2013
Sikkim,Preparation & Assembly for Dacoity,0
Tamil Nadu,Preparation & Assembly for Dacoity,55
Tripura,Preparation & Assembly for Dacoity,1
Uttar Pradesh,Preparation & Assembly for Dacoity,70
Uttarakhand,Preparation & Assembly for Dacoity,7
West Bengal,Preparation & Assembly for Dacoity,1099
Total (State),Preparation & Assembly for Dacoity,3146
A&N Islands,Preparation & Assembly for Dacoity,0
Chandigarh,Preparation & Assembly for Dacoity,1
D&N Haveli,Preparation & Assembly for Dacoity,0
Daman & Diu,Preparation & Assembly for Dacoity,0
Delhi UT,Preparation & Assembly for Dacoity,4
Lakshadweep,Preparation & Assembly for Dacoity,0
Puducherry,Preparation & Assembly for Dacoity,8
Total (UTs),Preparation & Assembly for Dacoity,13
Total (All-India),Preparation & Assembly for Dacoity,3159
Andhra Pradesh,Rape,1635
Arunachal Pradesh,Rape,75
Assam,Rape,1937
Bihar,Rape,1128
Chhattisgarh,Rape,1380
Goa,Rape,86
Gujarat,Rape,732
Haryana,Rape,971
Himachal Pradesh,Rape,250
Jammu & Kashmir,Rape,378
Jharkhand,Rape,1204
Karnataka,Rape,1030
Kerala,Rape,1221
Madhya Pradesh,Rape,4335
Maharashtra,Rape,3063
Manipur,Rape,72
Meghalaya,Rape,183
Mizoram,Rape,89
Nagaland,Rape,31
Odisha,Rape,1832
Punjab,Rape,888
Rajasthan,Rape,3285
Sikkim,Rape,43
Tamil Nadu,Rape,923
Tripura,Rape,233
Uttar Pradesh,Rape,3050
Uttarakhand,Rape,228
West Bengal,Rape,1685
Total (State),Rape,31967
A&N Islands,Rape,27
Chandigarh,Rape,45
D&N Haveli,Rape,5
Daman & Diu,Rape,8
Delhi UT,Rape,1636
Lakshadweep,Rape,2
Puducherry,Rape,17
Total (UTs),Rape,1740
Total (All-India),Rape,33707
Andhra Pradesh,Riots,1944
Arunachal Pradesh,Riots,36
Assam,Riots,2429
Bihar,Riots,11931
Chhattisgarh,Riots,786
Goa,Riots,127
Gujarat,Riots,1715
Haryana,Riots,1560
Himachal Pradesh,Riots,487
Jammu & Kashmir,Riots,1714
Jharkhand,Riots,2465
Karnataka,Riots,7237
Kerala,Riots,10042
Madhya Pradesh,Riots,1779
Maharashtra,Riots,9610
Manipur,Riots,67
Meghalaya,Riots,13
Mizoram,Riots,1
Nagaland,Riots,11
Odisha,Riots,1937
Punjab,Riots,0
Rajasthan,Riots,542
Sikkim,Riots,32
Tamil Nadu,Riots,2701
Tripura,Riots,123
Uttar Pradesh,Riots,6089
Uttarakhand,Riots,334
West Bengal,Riots,6142
Total (State),Riots,71854
A&N Islands,Riots,0
Chandigarh,Riots,54
D&N Haveli,Riots,7
Daman & Diu,Riots,11
Delhi UT,Riots,113
Lakshadweep,Riots,2
Puducherry,Riots,85
Total (UTs),Riots,272
Total (All-India),Riots,72126
Andhra Pradesh,Robbery,709
Arunachal Pradesh,Robbery,75
Assam,Robbery,923
Bihar,Robbery,1521
Chhattisgarh,Robbery,351
Goa,Robbery,37
Gujarat,Robbery,1429
Haryana,Robbery,763
Himachal Pradesh,Robbery,14
Jammu & Kashmir,Robbery,87
Jharkhand,Robbery,568
Karnataka,Robbery,2150
Kerala,Robbery,784
Madhya Pradesh,Robbery,1832
Maharashtra,Robbery,9746
Manipur,Robbery,3
Meghalaya,Robbery,68
Mizoram,Robbery,3
Nagaland,Robbery,49
Odisha,Robbery,1678
Punjab,Robbery,141
Rajasthan,Robbery,1065
Sikkim,Robbery,6
Tamil Nadu,Robbery,2186
Tripura,Robbery,44
Uttar Pradesh,Robbery,3591
Uttarakhand,Robbery,138
West Bengal,Robbery,647
Total (State),Robbery,30608
A&N Islands,Robbery,1
Chandigarh,Robbery,62
D&N Haveli,Robbery,0
Daman & Diu,Robbery,1
Delhi UT,Robbery,1245
Lakshadweep,Robbery,0
Puducherry,Robbery,10
Total (UTs),Robbery,1319
Total (All-India),Robbery,31927
Andhra Pradesh,Theft,31032
Arunachal Pradesh,Theft,514
Assam,Theft,10515
Bihar,Theft,21423
Chhattisgarh,Theft,5189
Goa,Theft,1138
Gujarat,Theft,15313
Haryana,Theft,18620
Himachal Pradesh,Theft,818
Jammu & Kashmir,Theft,1862
Jharkhand,Theft,6839
Karnataka,Theft,19756
Kerala,Theft,4079
Madhya Pradesh,Theft,25045
Maharashtra,Theft,52670
Manipur,Theft,854
Meghalaya,Theft,617
Mizoram,Theft,643
Nagaland,Theft,406
Odisha,Theft,10044
Punjab,Theft,4885
Rajasthan,Theft,28928
Sikkim,Theft,122
Tamil Nadu,Theft,11950
Tripura,Theft,533
Uttar Pradesh,Theft,41949
Uttarakhand,Theft,1596
West Bengal,Theft,22904
Total (State),Theft,340244
A&N Islands,Theft,37
Chandigarh,Theft,1519
D&N Haveli,Theft,58
Daman & Diu,Theft,38
Delhi UT,Theft,30124
Lakshadweep,Theft,8
Puducherry,Theft,594
Total (UTs),Theft,32378
Total (All-India),Theft,372622
Andhra Pradesh,Total IPC Crimes,218015
Arunachal Pradesh,Total IPC Crimes,2776
Assam,Total IPC Crimes,87186
Bihar,Total IPC Crimes,167455
Chhattisgarh,Total IPC Crimes,56870
Goa,Total IPC Crimes,4312
Gujarat,Total IPC Crimes,157435
Haryana,Total IPC Crimes,72098
Himachal Pradesh,Total IPC Crimes,13750
Jammu & Kashmir,Total IPC Crimes,25390
Jharkhand,Total IPC Crimes,48208
Karnataka,Total IPC Crimes,136689
Kerala,Total IPC Crimes,176334
Madhya Pradesh,Total IPC Crimes,227453
Maharashtra,Total IPC Crimes,234385
Manipur,Total IPC Crimes,3178
Meghalaya,Total IPC Crimes,3259
Mizoram,Total IPC Crimes,1709
Nagaland,Total IPC Crimes,1216
Odisha,Total IPC Crimes,71718
Punjab,Total IPC Crimes,36667
Rajasthan,Total IPC Crimes,196224
Sikkim,Total IPC Crimes,851
Tamil Nadu,Total IPC Crimes,203579
Tripura,Total IPC Crimes,6210
Uttar Pradesh,Total IPC Crimes,226445
Uttarakhand,Total IPC Crimes,9546
West Bengal,Total IPC Crimes,169535
Total (State),Total IPC Crimes,2558493
A&N Islands,Total IPC Crimes,612
Chandigarh,Total IPC Crimes,4077
D&N Haveli,Total IPC Crimes,314
Daman & Diu,Total IPC Crimes,246
Delhi UT,Total IPC Crimes,80184
Lakshadweep,Total IPC Crimes,40
Puducherry,Total IPC Crimes,3756
Total (UTs),Total IPC Crimes,89229
Total (All-India),Total IPC Crimes,2647722
